id,media_source,username,create_at,text_sent,retweet_count,favorite_count,sentiment_score
1468361567204900000,Twitter for iPhone,â€¢ qÏ…ÑÑÎ±Ñ‚Ï…'Î±Î¹Ð¸Î¹ â™¡ â„¢,2021-12-07 23:27:33+00:00,aku minding business kau ada je nak bebual pasal aku,0,0,0
1468361522090880000,Twitter for Android,SayNoTo,2021-12-07 23:27:22+00:00,seberapa tangguhkah kita? s://t.co/lissj3usgf s://t.co/22c2wlavhb,0,0,0
1468360272285150000,Twitter for Android,James Jayi Wang,2021-12-07 23:22:24+00:00,@jayi_wang: #china's #business /1-2 #double11 #onlineshopping #globalshoppingfestival total sales 2021 rmb Â¥889.4 bln us $139.11 bln âš¡â€¦,2,0,0
1468360054331950000,Twitter for iPhone,ISRAFiL,2021-12-07 23:21:32+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468358804584680000,Twitter for iPhone,Francis Kalemba,2021-12-07 23:16:34+00:00,"@kakese_leon @soniarolley @congoholdup @thesentry_org @business @mediapa @eicnetwork @pplaaf @rfi @alingetejules_k @soniarolley , pe e ya temps. oyo mbokâ€™elengi , seulement tu comprendras pas.",0,0,0
1468358590775770000,Twitter for Android,leto,2021-12-07 23:15:43+00:00,"@nabellaanuar: terbaca posting en khairul, â€œmacam mana nak bagi tak stress buat business?â€ jawapan dia: jgn buat.",20,0,0
1468358582844280000,Twitter for iPhone,yoongijah ðŸ‡µðŸ‡¸,2021-12-07 23:15:41+00:00,"@nabellaanuar: terbaca posting en khairul, â€œmacam mana nak bagi tak stress buat business?â€ jawapan dia: jgn buat.",20,0,0
1468358454247320000,twittbot.net,Saatnya Jadi Pengusaha di Era Digital,2021-12-07 23:15:10+00:00,inilah peluang bisnis terbaik jaman s://t.co/9gjh67kvs4,0,0,0
1468358193931630000,dlvr.it,IDN Times,2021-12-07 23:14:08+00:00,bisnis ini bisa disesuaikan dengan modal yang dimiliki s://t.co/ olarqfnw,0,0,0
1468358094832880000,Twitter for Android,á—°á–‡. á‘­á—©á‘•á•¼á—©Ká‘Œ,2021-12-07 23:13:45+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
